:hiking_boot: | 906772
:socks: | 6286A6
:gloves: | 828D9D
:scarf: | A75A70
:billed_cap: | 588ABA
:womans_hat: | C5B39E
:mortar_board: | 746A6B
:helmet_with_cross: | B36474
:military_helmet: | 787762
:crown: | D9AC6F
:ring: | 8C9FAE
:pouch: | A0BA8C
:purse: | D47687
:handbag: | 9D73B3
:briefcase: | 915E60
:school_satchel: | A55360
:luggage: | 6191C2
:eyeglasses: | 4D83AE
:dark_sunglasses: | 5D7186
:goggles: | A8B6C2
:closed_umbrella: | 7C74B3

:dog: | B7866C
:cat: | DFB057
:mouse: | AB9897
:hamster: | E1AE74
:rabbit: | AF9E9A
:fox: | C9843F
:bear: | B77760
:panda_face: | C1BEBF
:polar_bear: | C0C5CF
:koala: | 9B9BA1
:tiger: | CAAE84
:lion_face: | BB905C
:cow: | C6A7A9
:pig: | DC8E9B
:pig_nose: | C18F89
:frog: | 9AB579
:monkey_face: | B48063
:see_no_evil: | B67A6E
:hear_no_evil: | B57964
:speak_no_evil: | BB7B61
:monkey: | A96B5A
:chicken: | C5B0AA
:penguin: | C0BAB9
:bird: | C44542
:baby_chick: | E3AF4C
:hatching_chick: | E1BF80
:hatched_chick: | DEB14E
:goose: | C4BCB6
:duck: | AF9F91
:black_bird: | 655A52
:eagle: | B2AFAA
:owl: | AD755A
:bat: | 797F87
:wolf: | 929398
:boar: | A36657
:horse: | AE624C
:unicorn: | A8A1AC
:moose: | 946B70
:bee: | 978D82
:worm: | B05470
:bug: | 815FAB
:butterfly: | 4677AB
:snail: | CA9785
:lady_beetle: | 9D4135
:ant: | 493C36
:fly: | 5A5E5D
:beetle: | 648F4A
:cockroach: | 5E3C2C
:mosquito: | 6E7277
:cricket: | 8F7C73
:spider: | 4F4342
:spider_web: | 5C5446
:scorpion: | 6C543D
:turtle: | 6F864E
:snake: | 769B61
:lizard: | 769B61
:t_rex: | 789651
:sauropod: | 7C9A6C
:octopus: | 8962B5
:squid: | C78A9C
:jellyfish: | 6A9AC8
:shrimp: | AC3D53
:lobster: | AB3844
:crab: | A13845
:blowfish: | BD7C60
:tropical_fish: | DBB366
:fish: | 6B91BC
:dolphin: | 5582C0
:whale: | 5981B4
:whale2: | 5E7EAA
:shark: | 656A75
:seal: | 868E93
:crocodile: | 7E9158
:tiger2: | CC902B
:leopard: | D8A241
:zebra: | 9B9E9D
:gorilla: | 6A6763
:orangutan: | C2844E
:mammoth: | B17260
:elephant: | 8E9AA0
:hippopotamus: | 86959E
:rhino: | 959DA4
:dromedary_camel: | A06F5F
:camel: | A7664A
:giraffe: | C38F4A
:kangaroo: | B18165
:bison: | 8F6352
:water_buffalo: | 655D53
:ox: | A26A4A
:cow2: | 908988
:donkey: | 8F9CA6
:racehorse: | 946766
:pig2: | D89BA7
:ram: | CCC0B8
:sheep: | D3CEC8
:llama: | B69586
:goat: | ADB2B0
:deer: | A06058
:dog2: | B17A67
:poodle: | 90949A
:guide_dog: | 9E775B
:service_dog: | AB7A69
:cat2: | D3A545
:black_cat: | 655A36
:feather: | A67A62
:wing: | ADADB2
:rooster: | BFBEBB
:turkey: | 695E5D
:dodo: | 8B8C94
:peacock: | 91A894
:parrot: | 829778
:swan: | CACDD1
:flamingo: | B95C5B
